codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
150375,202312,2023,12,3736,3184786.0,860.06,852.4587794432548
150380,202312,2023,12,7758,5213962.0,675.21,672.0755349316835
150390,202312,2023,12,7018,5763203.0,821.55,821.2030493017954
150400,202312,2023,12,6469,2937521.0,584.81,454.0919771216571
150405,202312,2023,12,7159,5013750.0,700.64,700.3422265679565
150410,202312,2023,12,1488,1036694.0,697.64,696.7029569892474
150420,202312,2023,12,30001,21487272.0,716.74,716.2185260491317
150430,202312,2023,12,7044,4731240.0,691.1,671.6695059625213
150440,202312,2023,12,5653,3939803.0,702.41,696.9402087387228
150442,202312,2023,12,21567,14258113.0,662.71,661.1078499559512
150445,202312,2023,12,6798,4839510.0,713.06,711.9020300088262
150450,202312,2023,12,6587,4984260.0,797.23,756.6813420373463
150460,202312,2023,12,7758,4679202.0,676.28,603.1453982985305
150470,202312,2023,12,15899,11109743.0,711.3,698.7699226366439
150475,202312,2023,12,4224,3044454.0,720.75,720.7514204545455
150480,202312,2023,12,12775,8729365.0,686.86,683.3162426614481
150490,202312,2023,12,7552,3182111.0,597.69,421.36003707627117
150495,202312,2023,12,5178,3705657.0,715.93,715.6541135573581
150497,202312,2023,12,1719,1220806.0,712.26,710.1838278068644
150500,202312,2023,12,2461,1664708.0,676.99,676.4355952864689
150503,202312,2023,12,3217,2352422.0,732.84,731.2471246502953
150506,202312,2023,12,10883,7855288.0,723.99,721.7943581732978
150510,202312,2023,12,10772,7533598.0,706.12,699.3685480876346
150520,202312,2023,12,8672,4809232.0,655.48,554.570110701107
150530,202312,2023,12,11524,8878246.0,770.41,770.4135716765012
150540,202312,2023,12,4381,3077244.0,703.21,702.4067564482995
150543,202312,2023,12,5070,3634028.0,718.19,716.770808678501
150548,202312,2023,12,9398,6798617.0,726.27,723.4110449031709
150549,202312,2023,12,1478,1022404.0,691.75,691.7483085250338
150550,202312,2023,12,12216,8518633.0,699.4,697.3340700720366
150553,202312,2023,12,23312,16667996.0,716.44,714.9963967055594
150555,202312,2023,12,1433,1023051.0,713.92,713.9225401256106
150560,202312,2023,12,1540,1025013.0,671.26,665.5928571428572
150563,202312,2023,12,1906,1384010.0,726.13,726.1332633788038
150565,202312,2023,12,3900,2786563.0,715.24,714.5033333333333
150570,202312,2023,12,6710,3302437.0,600.77,492.16646795827126
150580,202312,2023,12,10739,8859383.0,843.91,824.9728093863488
150590,202312,2023,12,7564,5284979.0,723.67,698.7016129032259
150600,202312,2023,12,9414,6348807.0,684.95,674.4005736137667
150610,202312,2023,12,2663,1823082.0,685.63,684.5970709725873
150611,202312,2023,12,2710,1807375.0,677.43,666.9280442804428
150613,202312,2023,12,8669,6018782.0,694.45,694.2879224824086
150616,202312,2023,12,2191,1534161.0,700.85,700.2104062072113
150618,202312,2023,12,5267,3700844.0,703.45,702.6474273780141
150619,202312,2023,12,4922,3519374.0,715.32,715.0292563998374
150620,202312,2023,12,5996,4083510.0,697.8,681.0390260173449
150630,202312,2023,12,6057,3345378.0,602.88,552.3159980188212
150635,202312,2023,12,3831,2604392.0,681.96,679.8204124249543
150640,202312,2023,12,1878,941980.0,594.31,501.58679446219384
150650,202312,2023,12,8456,5783904.0,688.23,684.0
150655,202312,2023,12,5164,3527791.0,683.95,683.1508520526723
150658,202312,2023,12,2534,1785738.0,705.55,704.7111286503551
150660,202312,2023,12,4364,2983719.0,684.03,683.711961503208
150670,202312,2023,12,6620,4560626.0,689.12,688.9163141993957
150680,202312,2023,12,49881,36257197.0,728.26,726.8738998817184
150690,202312,2023,12,1925,1289391.0,680.06,669.8135064935065
150700,202312,2023,12,5611,3941204.0,705.93,702.4067011227945
150710,202312,2023,12,3140,2138653.0,691.23,681.0996815286625
150715,202312,2023,12,4092,2912537.0,712.11,711.7636852394917
150720,202312,2023,12,7382,5258654.0,715.17,712.3616905987537
150730,202312,2023,12,10877,7846768.0,721.67,721.4092120989243
150740,202312,2023,12,3212,2196684.0,684.33,683.8991282689913
150745,202312,2023,12,4330,3045559.0,703.52,703.3623556581986
150746,202312,2023,12,1382,953656.0,698.65,690.05499276411
150747,202312,2023,12,4665,3175876.0,700.92,680.7879957127545
150750,202312,2023,12,2757,2016464.0,733.26,731.3978962640551
150760,202312,2023,12,9253,6569192.0,710.72,709.9526640008646
150770,202312,2023,12,6697,3256730.0,615.52,486.29684933552335
150775,202312,2023,12,883,631208.0,715.66,714.8448471121178
150780,202312,2023,12,4318,3013532.0,707.4,697.8999536822603
150790,202312,2023,12,4613,2323163.0,621.33,503.6121829611966
150795,202312,2023,12,13997,9890123.0,712.96,706.5887690219332
150796,202312,2023,12,2924,2054254.0,703.75,702.5492476060192
150797,202312,2023,12,3798,2702581.0,714.78,711.5800421274355
150800,202312,2023,12,11921,8788462.0,738.65,737.2252327824847
150803,202312,2023,12,7925,5485757.0,692.73,692.2090851735015
150805,202312,2023,12,2767,1999772.0,722.98,722.7220816769064
150808,202312,2023,12,3150,2232810.0,711.09,708.8285714285714
150810,202312,2023,12,13176,8746706.0,675.32,663.8362173649059
150812,202312,2023,12,5459,3697044.0,680.1,677.2383220370031
150815,202312,2023,12,7735,5641487.0,729.53,729.3454427925017
150820,202312,2023,12,10778,7291281.0,685.79,676.4966598626833
150830,202312,2023,12,12164,8747017.0,738.77,719.0905129891484
150835,202312,2023,12,3032,2128324.0,703.11,701.9538258575197
150840,202312,2023,12,5765,4047426.0,702.19,702.0686903729402
160005,202312,2023,12,1013,717425.0,708.92,708.218163869694
160010,202312,2023,12,2046,1418335.0,696.97,693.2233626588466
160015,202312,2023,12,3220,2325853.0,722.54,722.314596273292
160020,202312,2023,12,2100,1582520.0,754.3,753.5809523809523
160021,202312,2023,12,1035,810183.0,783.54,782.7855072463768
160023,202312,2023,12,1124,863864.0,768.56,768.5622775800712
160025,202312,2023,12,1893,1398146.0,740.54,738.5874273639726
160027,202312,2023,12,8817,6051535.0,693.35,686.3485312464558
160030,202312,2023,12,56149,40132213.0,717.22,714.7449286719265
160040,202312,2023,12,5197,3845795.0,751.57,740.0028862805465
160050,202312,2023,12,4775,3583853.0,751.49,750.5451308900524
160053,202312,2023,12,3804,2794777.0,735.66,734.6942691903259
160055,202312,2023,12,1484,995660.0,672.29,670.9299191374663
160060,202312,2023,12,20869,14490361.0,699.07,694.3486031913365
160070,202312,2023,12,2898,2206727.0,764.1,761.4654934437543
160080,202312,2023,12,2884,2051024.0,726.03,711.1733703190014
170025,202312,2023,12,236,158629.0,672.16,672.1567796610169
170030,202312,2023,12,548,376315.0,686.71,686.706204379562
170035,202312,2023,12,722,493407.0,683.39,683.3891966759003
170040,202312,2023,12,1024,740859.0,723.5,723.4951171875
170070,202312,2023,12,996,688338.0,691.1,691.1024096385543
170100,202312,2023,12,1569,1122961.0,715.72,715.7176545570427
170105,202312,2023,12,277,181237.0,654.29,654.2851985559566
170110,202312,2023,12,586,415283.0,708.67,708.6740614334472
170130,202312,2023,12,818,581896.0,713.11,711.3643031784841
170190,202312,2023,12,894,624809.0,698.89,698.8914988814317
170200,202312,2023,12,757,503559.0,665.2,665.2034346103038
170210,202312,2023,12,11749,8002497.0,681.76,681.1215422589156
170215,202312,2023,12,749,501100.0,669.92,669.0253671562083
170220,202312,2023,12,3544,2556303.0,721.71,721.3044582392777
170230,202312,2023,12,659,470228.0,714.63,713.5477996965099
170240,202312,2023,12,1942,1317451.0,678.4,678.3990731204943
170255,202312,2023,12,1996,1421687.0,712.98,712.2680360721442
170270,202312,2023,12,434,287604.0,662.68,662.6820276497696
170290,202312,2023,12,2139,1545953.0,723.42,722.7456755493221
170300,202312,2023,12,1328,897357.0,676.74,675.7206325301205
170305,202312,2023,12,364,248973.0,683.99,683.9917582417582
170307,202312,2023,12,762,536545.0,704.13,704.1272965879265
170310,202312,2023,12,741,512885.0,692.15,692.1524966261809
170320,202312,2023,12,539,371311.0,688.89,688.8886827458256
170330,202312,2023,12,840,581828.0,697.64,692.652380952381
170360,202312,2023,12,330,219026.0,663.72,663.7151515151515
170370,202312,2023,12,640,442932.0,692.08,692.08125
170380,202312,2023,12,1076,776584.0,721.73,721.7323420074349
170382,202312,2023,12,311,211371.0,679.65,679.6495176848874
170384,202312,2023,12,1161,861281.0,741.84,741.8440999138674
170386,202312,2023,12,319,221034.0,692.9,692.8965517241379
170388,202312,2023,12,369,263724.0,714.7,714.69918699187
170389,202312,2023,12,492,352912.0,717.3,717.30081300813
170390,202312,2023,12,1033,718141.0,697.9,695.1994191674734
170410,202312,2023,12,333,220929.0,663.45,663.4504504504505
170460,202312,2023,12,241,159395.0,661.39,661.3900414937759
170510,202312,2023,12,460,325178.0,706.91,706.908695652174
170550,202312,2023,12,3579,2506164.0,700.44,700.2414082145851
170555,202312,2023,12,701,474356.0,676.68,676.6847360912982
170560,202312,2023,12,520,368915.0,709.45,709.4519230769231
170600,202312,2023,12,774,532056.0,687.41,687.4108527131783
170610,202312,2023,12,922,623324.0,676.06,676.0563991323211
170625,202312,2023,12,177,120806.0,682.52,682.5197740112994
170650,202312,2023,12,970,689050.0,710.36,710.360824742268
170700,202312,2023,12,1827,1267171.0,694.34,693.5801860974275
170710,202312,2023,12,954,658846.0,691.34,690.6142557651991
170720,202312,2023,12,1113,747544.0,671.65,671.6477987421383
170730,202312,2023,12,604,425229.0,704.02,704.0215231788079
170740,202312,2023,12,1546,1074078.0,696.55,694.7464424320827
170755,202312,2023,12,417,280491.0,672.64,672.6402877697842
170765,202312,2023,12,531,360861.0,679.59,679.5875706214689
170770,202312,2023,12,1314,909867.0,697.75,692.4406392694063
170820,202312,2023,12,2200,1538180.0,699.17,699.1727272727272
170825,202312,2023,12,602,418921.0,695.88,695.8820598006645
170830,202312,2023,12,773,501857.0,649.23,649.2328589909444
170900,202312,2023,12,2567,1917470.0,746.97,746.9692247760031
170930,202312,2023,12,2118,1440005.0,679.89,679.889046270066
170950,202312,2023,12,4009,2799604.0,699.03,698.3297580444001
170980,202312,2023,12,209,140621.0,672.83,672.8277511961722
171050,202312,2023,12,1262,931001.0,737.72,737.7187004754359
171070,202312,2023,12,894,639630.0,716.27,715.4697986577181
171090,202312,2023,12,548,367362.0,670.37,670.3686131386861
171110,202312,2023,12,248,171678.0,692.25,692.25
171150,202312,2023,12,393,264884.0,674.01,674.0050890585242
171180,202312,2023,12,238,166240.0,698.49,698.4873949579832
171190,202312,2023,12,1532,1142728.0,747.37,745.9060052219321
171195,202312,2023,12,473,353328.0,746.99,746.9936575052855
171200,202312,2023,12,251,170965.0,681.14,681.1354581673306
171215,202312,2023,12,232,154711.0,666.86,666.8577586206897
171240,202312,2023,12,456,337678.0,740.52,740.5219298245614
171245,202312,2023,12,392,256316.0,653.87,653.8673469387755
171250,202312,2023,12,354,254321.0,718.42,718.4209039548023
171270,202312,2023,12,289,220064.0,761.47,761.4671280276816
171280,202312,2023,12,540,383424.0,710.04,710.0444444444445
171320,202312,2023,12,1815,1267936.0,698.59,698.5873278236915
171330,202312,2023,12,1632,1129999.0,692.83,692.4013480392157
171360,202312,2023,12,828,606603.0,732.61,732.6123188405797
171370,202312,2023,12,360,248051.0,690.95,689.0305555555556
171380,202312,2023,12,879,596076.0,678.13,678.1296928327645
171395,202312,2023,12,483,349450.0,723.5,723.4989648033127
171420,202312,2023,12,1104,760439.0,688.8,688.8034420289855
171430,202312,2023,12,621,425015.0,685.51,684.4041867954911
171488,202312,2023,12,1475,1032460.0,699.97,699.9728813559323
171500,202312,2023,12,428,283864.0,664.79,663.2336448598131
171510,202312,2023,12,604,433496.0,717.71,717.7086092715232
171515,202312,2023,12,257,177969.0,692.49,692.4863813229572
171525,202312,2023,12,377,267476.0,709.49,709.4854111405836
171550,202312,2023,12,164,114417.0,697.66,697.6646341463414
171570,202312,2023,12,725,498850.0,689.02,688.0689655172414
171575,202312,2023,12,787,528217.0,671.18,671.1778907242693
171610,202312,2023,12,2188,1536930.0,705.34,702.4360146252285
