codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
510385,2025,1115,10108030.0,756.34,755.15
510390,2025,823,7440683.0,754.29,753.01
510395,2025,312,2518673.0,673.38,671.7
510410,2025,3056,25469749.0,697.38,694.69
510420,2025,1241,9973029.0,670.26,669.79
510450,2025,176,1394381.0,661.37,659.88
510452,2025,690,6064715.0,732.91,732.18
510454,2025,548,4615568.0,705.82,701.96
510455,2025,399,3212545.0,672.18,671.43
510460,2025,806,6302191.0,655.09,651.36
510480,2025,1872,15092328.0,673.83,672.16
510490,2025,1029,8410563.0,683.24,681.41
510500,2025,418,3467370.0,696.02,691.96
510510,2025,1811,15564076.0,717.22,716.33
510515,2025,2294,18676771.0,682.1,678.25
510517,2025,901,7488866.0,693.72,692.8
510520,2025,665,5439190.0,682.42,681.58
510523,2025,503,4089340.0,678.54,677.63
510525,2025,3542,28161405.0,665.16,662.4
510530,2025,410,3438705.0,702.93,698.77
510550,2025,1481,12401642.0,700.16,697.89
510558,2025,1089,9335997.0,715.72,714.38
510560,2025,635,5033712.0,667.21,661.0
510562,2025,2441,19215378.0,658.83,656.18
510590,2025,1681,13892628.0,693.09,688.76
510600,2025,478,3697693.0,645.38,644.59
510610,2025,1335,10900665.0,681.57,680.75
510615,2025,1211,9150188.0,631.84,628.94
510617,2025,798,7509287.0,786.58,784.12
510618,2025,670,5687294.0,712.59,707.88
510619,2025,162,1295775.0,669.51,665.59
510620,2025,313,2588717.0,704.38,690.14
510621,2025,482,3387641.0,587.97,584.02
510622,2025,1519,11793502.0,652.76,647.82
510623,2025,1138,9421227.0,691.8,690.67
510624,2025,314,2394150.0,641.06,636.31
510625,2025,1383,11081369.0,668.27,667.51
510626,2025,572,4585692.0,671.12,668.11
510627,2025,217,1827267.0,704.79,702.24
510628,2025,573,4710341.0,688.45,684.97
510629,2025,604,4853395.0,670.79,669.06
510630,2025,1390,12308860.0,745.5,738.08
510631,2025,296,2412494.0,683.25,678.36
510637,2025,1444,11126800.0,651.5,642.06
510642,2025,3196,26997993.0,705.07,703.95
510645,2025,361,2970652.0,687.51,684.92
510650,2025,4296,37085618.0,721.35,719.61
510665,2025,496,4007147.0,676.51,673.49
510670,2025,194,1657117.0,713.26,712.96
510675,2025,2288,18057727.0,671.38,657.66
510677,2025,1185,10065291.0,712.55,708.02
510680,2025,203,1663893.0,685.75,683.14
510682,2025,1051,8685693.0,699.7,687.89
510685,2025,290,2402229.0,692.55,690.89
510700,2025,1799,14913576.0,698.57,690.86
510704,2025,3563,27860074.0,655.84,651.69
510706,2025,1891,16719633.0,737.79,736.85
510710,2025,997,7919246.0,663.51,661.82
510715,2025,220,1792741.0,678.56,677.98
510718,2025,1028,9313602.0,760.53,755.48
510719,2025,166,1370296.0,686.52,685.83
510720,2025,339,2561862.0,632.44,630.84
510724,2025,318,2613947.0,686.9,685.64
510726,2025,299,2456332.0,685.89,684.19
510729,2025,121,938478.0,650.78,645.92
510730,2025,1347,10550069.0,656.07,652.5
510735,2025,838,7479968.0,744.03,743.39
510740,2025,404,3361850.0,694.39,693.15
510757,2025,218,1965136.0,755.43,752.8
510760,2025,11624,91740424.0,659.87,658.43
510770,2025,2220,18100891.0,679.85,679.43
510774,2025,269,2231784.0,693.55,691.22
510775,2025,173,1387114.0,674.83,670.23
510776,2025,296,2546555.0,721.09,716.84
510777,2025,776,6483464.0,697.31,696.25
510779,2025,400,3608503.0,753.88,752.49
510780,2025,1974,16316962.0,691.38,689.67
510785,2025,756,6468885.0,714.04,713.16
510787,2025,1185,9411547.0,665.0,661.06
510788,2025,181,1483183.0,685.56,683.94
510790,2025,5093,38841913.0,642.61,635.32
510792,2025,4820,38650068.0,670.15,668.0
