codigo_ibge,referencia,ano,mes,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
150220,202512,2025,12,11212,7584790.0,677.64,676.4885836603639
150230,202512,2025,12,12640,8625273.0,684.38,682.3791930379747
150240,202512,2025,12,21458,14346200.0,671.01,668.5711622704819
150250,202512,2025,12,4418,3518508.0,800.39,796.4028972385695
150260,202512,2025,12,2687,1840607.0,685.77,685.004465947153
150270,202512,2025,12,3725,2611758.0,707.41,701.1430872483221
150275,202512,2025,12,7241,5144317.0,713.79,710.4428946278139
150276,202512,2025,12,1645,1189080.0,724.17,722.8449848024316
150277,202512,2025,12,3207,2314449.0,724.17,721.6866230121609
150280,202512,2025,12,7318,5708944.0,782.48,780.1235310194043
150285,202512,2025,12,2769,2069999.0,750.54,747.5619357168653
150290,202512,2025,12,10187,6956255.0,684.54,682.8560910964956
150293,202512,2025,12,5796,4036086.0,697.56,696.3571428571429
150295,202512,2025,12,4186,3036994.0,729.0,725.5121834687052
150300,202512,2025,12,2155,1531485.0,712.98,710.6658932714618
150304,202512,2025,12,3128,2238107.0,717.57,715.5073529411765
150307,202512,2025,12,5274,3718437.0,708.41,705.0506257110353
150309,202512,2025,12,3757,2558182.0,688.05,680.9108331115251
150310,202512,2025,12,6781,5332365.0,788.34,786.3685297153812
150320,202512,2025,12,6778,4596202.0,679.61,678.1059309530835
150330,202512,2025,12,14113,10173197.0,722.02,720.8387302487068
150340,202512,2025,12,1856,1267098.0,683.81,682.7036637931035
150345,202512,2025,12,7542,5346819.0,713.1,708.9391408114559
150350,202512,2025,12,7492,5124838.0,690.59,684.0413774693006
150360,202512,2025,12,14772,10791890.0,732.25,730.5639046845383
150370,202512,2025,12,8877,6381529.0,719.86,718.8835192069392
150375,202512,2025,12,3771,3367281.0,897.94,892.9411296738266
150380,202512,2025,12,6593,4534060.0,690.33,687.7081753374791
150390,202512,2025,12,6891,5724232.0,833.1,830.6823392831229
150400,202512,2025,12,6342,4545625.0,719.36,716.7494481236203
150405,202512,2025,12,6850,4750283.0,694.79,693.4719708029197
150410,202512,2025,12,1481,1010447.0,684.58,682.2734638757596
150420,202512,2025,12,27374,19464597.0,714.35,711.0614816979615
150430,202512,2025,12,6769,4713245.0,698.05,696.2985669966022
150440,202512,2025,12,5997,4142800.0,691.73,690.8120727030182
150442,202512,2025,12,19018,12783205.0,673.79,672.1634767062783
150445,202512,2025,12,5635,4095241.0,729.34,726.750842945874
150450,202512,2025,12,6269,5164330.0,825.9,823.7884830116446
150460,202512,2025,12,8805,6282681.0,714.92,713.535604770017
150470,202512,2025,12,15574,10962502.0,705.94,703.8976499293694
150475,202512,2025,12,3667,2638505.0,720.12,719.5268611944368
150480,202512,2025,12,11700,8316768.0,713.27,710.8348717948718
150490,202512,2025,12,7386,5419860.0,735.49,733.8017871649066
150495,202512,2025,12,5125,3571892.0,698.18,696.9545365853659
150497,202512,2025,12,1899,1379926.0,728.58,726.6592943654555
150500,202512,2025,12,2415,1632099.0,677.22,675.8173913043478
150503,202512,2025,12,2822,2017622.0,722.64,714.9617292700212
150506,202512,2025,12,11431,8179978.0,719.5,715.5960108476949
150510,202512,2025,12,9617,7143379.0,745.5,742.7866278465218
150520,202512,2025,12,9133,6808508.0,747.94,745.484287747728
150530,202512,2025,12,10527,7932145.0,756.81,753.5047971881828
150540,202512,2025,12,4051,2750236.0,691.36,678.9029869168106
150543,202512,2025,12,4169,2939064.0,714.58,704.980570880307
150548,202512,2025,12,8089,5872369.0,729.49,725.9697119545061
150549,202512,2025,12,1292,918334.0,711.89,710.7848297213623
150550,202512,2025,12,10998,7592322.0,693.81,690.3366066557556
150553,202512,2025,12,21431,14851071.0,694.92,692.9714432364332
150555,202512,2025,12,1438,980985.0,685.52,682.1870653685675
150560,202512,2025,12,1568,1051419.0,672.69,670.547831632653
150563,202512,2025,12,1815,1280670.0,710.3,705.603305785124
150565,202512,2025,12,3522,2495474.0,709.55,708.5388983532084
150570,202512,2025,12,6794,4794665.0,707.8,705.7204886664704
150580,202512,2025,12,10769,8945152.0,839.76,830.6390565512119
150590,202512,2025,12,6917,5218769.0,757.11,754.4844585803094
150600,202512,2025,12,8840,6623548.0,750.97,749.2701357466063
150610,202512,2025,12,2370,1610053.0,681.65,679.3472573839663
150611,202512,2025,12,2500,1695218.0,678.9,678.0872
150613,202512,2025,12,8017,5479889.0,686.36,683.5336160658601
150616,202512,2025,12,2274,1550849.0,699.21,681.9916446789798
150618,202512,2025,12,4820,3338000.0,695.27,692.5311203319502
150619,202512,2025,12,3975,2864617.0,729.47,720.6583647798742
150620,202512,2025,12,6319,4389623.0,697.87,694.6705174869442
150630,202512,2025,12,6171,4238284.0,690.16,686.8066763895641
150635,202512,2025,12,3300,2247797.0,684.26,681.150606060606
150640,202512,2025,12,1716,1192012.0,695.86,694.6456876456876
150650,202512,2025,12,8509,5766050.0,679.16,677.6413209542837
150655,202512,2025,12,4861,3363120.0,692.28,691.8576424603991
150658,202512,2025,12,2234,1500371.0,672.81,671.6074306177261
150660,202512,2025,12,4446,3042770.0,685.31,684.3837156995052
150670,202512,2025,12,5485,3932945.0,719.4,717.0364630811304
150680,202512,2025,12,45435,33185517.0,732.83,730.3954440409376
150690,202512,2025,12,1778,1227279.0,691.81,690.2581552305962
150700,202512,2025,12,6144,4213616.0,686.7,685.8098958333334
150710,202512,2025,12,2811,1945499.0,699.82,692.1020988971896
150715,202512,2025,12,3823,2708153.0,711.36,708.3842532042898
150720,202512,2025,12,7319,5210664.0,713.01,711.9366033611149
150730,202512,2025,12,10167,7330109.0,762.76,720.9706894855906
150740,202512,2025,12,3226,2123666.0,659.73,658.2969621822691
150745,202512,2025,12,4119,2886767.0,702.72,700.8417091527069
150746,202512,2025,12,1199,873153.0,731.9,728.2343619683069
150747,202512,2025,12,4619,3179058.0,689.3,688.2567655336653
150750,202512,2025,12,2752,1992545.0,726.94,724.0352470930233
150760,202512,2025,12,8406,5909462.0,704.68,703.0052343564121
150770,202512,2025,12,5960,4444938.0,748.56,745.7949664429531
150775,202512,2025,12,891,639277.0,719.91,717.4826038159372
150780,202512,2025,12,4170,3132511.0,753.73,751.2016786570744
150790,202512,2025,12,5098,3713387.0,731.7,728.4007453903491
150795,202512,2025,12,12513,8979638.0,719.87,717.6247103012867
150796,202512,2025,12,2734,1862896.0,682.88,681.3811265544989
150797,202512,2025,12,3370,2429222.0,723.41,720.8373887240356
150800,202512,2025,12,11518,8470833.0,738.78,735.4430456676506
150803,202512,2025,12,7990,5469538.0,686.61,684.5479349186484
150805,202512,2025,12,2405,1715827.0,713.44,713.4415800415801
150808,202512,2025,12,2775,1747313.0,644.53,629.6623423423423
150810,202512,2025,12,10738,7496403.0,702.11,698.1191097038554
150812,202512,2025,12,4622,3197776.0,694.41,691.8598009519689
150815,202512,2025,12,6796,4936132.0,729.33,726.329017068864
150820,202512,2025,12,10543,7203301.0,689.91,683.2306743811059
150830,202512,2025,12,11962,8501348.0,720.76,710.6962046480521
150835,202512,2025,12,2549,1783719.0,701.42,699.7720674774421
150840,202512,2025,12,5421,3780671.0,699.99,697.41210108836
160005,202512,2025,12,790,555366.0,703.89,702.9949367088608
160010,202512,2025,12,1808,1324321.0,736.55,732.4784292035398
160015,202512,2025,12,2541,1862445.0,734.98,732.9574970484061
160020,202512,2025,12,1883,1458067.0,775.57,774.3319171534785
160021,202512,2025,12,897,764906.0,853.69,852.7380156075808
160023,202512,2025,12,1009,773924.0,769.31,767.0208126858275
160025,202512,2025,12,1979,1458808.0,739.01,737.1440121273371
160027,202512,2025,12,6708,4673591.0,698.38,696.718992248062
160030,202512,2025,12,59044,42670851.0,725.9,722.6958031298692
160040,202512,2025,12,4166,3339410.0,803.52,801.5866538646184
160050,202512,2025,12,6104,4327321.0,710.45,708.9320117955439
160053,202512,2025,12,3341,2467946.0,740.9,738.6848249027238
160055,202512,2025,12,1078,804454.0,763.24,746.2467532467532
160060,202512,2025,12,15706,11153525.0,718.47,710.1442124029033
160070,202512,2025,12,2534,2034209.0,806.91,802.7659826361484
160080,202512,2025,12,2458,1813636.0,738.45,737.8502847843775
170025,202512,2025,12,228,151061.0,668.41,662.5482456140351
