codigo_ibge,ano,familias_beneficiarias,valor_total,valor_medio,valor_por_familia
160060,2023,22262,151908810.0,701.53,682.62
160070,2023,2693,19768528.0,783.29,732.85
160080,2023,2945,19679436.0,739.96,668.1
170025,2023,235,1595551.0,678.96,678.96
170030,2023,536,3748479.0,705.06,700.02
170035,2023,747,5142594.0,688.8,688.8
170040,2023,1031,7428597.0,720.75,720.75
170070,2023,960,6646683.0,692.74,692.38
170100,2023,1540,10941124.0,710.84,710.15
170105,2023,273,1847213.0,677.99,677.99
170110,2023,572,4114092.0,719.75,719.75
170130,2023,834,5867409.0,707.67,703.66
170190,2023,938,6422882.0,694.58,685.26
170200,2023,765,5170243.0,676.08,676.08
170210,2023,11388,79124393.0,695.57,695.1
170215,2023,792,5368062.0,697.04,678.32
170220,2023,3314,23337566.0,728.96,703.28
170230,2023,611,4356027.0,715.08,712.83
170240,2023,1986,13548460.0,682.2,682.06
170255,2023,1972,14008309.0,713.33,710.39
170270,2023,428,2856005.0,667.66,667.66
170290,2023,2249,15996613.0,712.68,711.69
170300,2023,1461,9784181.0,679.66,669.91
170305,2023,371,2570851.0,693.11,693.11
170307,2023,752,5314613.0,718.18,705.96
170310,2023,761,5245756.0,689.68,689.5
170320,2023,567,3930510.0,694.64,693.56
170330,2023,801,5685622.0,711.15,709.78
170360,2023,335,2253936.0,673.17,673.17
170370,2023,656,4478055.0,686.93,682.37
170380,2023,1041,7436968.0,716.71,714.38
170382,2023,330,2285402.0,693.01,692.18
170384,2023,1138,8464338.0,743.95,743.95
170386,2023,307,2175455.0,708.07,708.07
170388,2023,370,2651150.0,716.65,716.65
170389,2023,483,3319114.0,724.68,686.47
170390,2023,1131,7773109.0,695.98,687.77
170410,2023,345,2298870.0,666.53,666.53
170460,2023,248,1682429.0,678.05,678.05
170510,2023,473,3348938.0,708.34,708.34
170550,2023,3409,23903027.0,701.27,701.03
170555,2023,706,4762680.0,675.1,675.1
170560,2023,524,3790987.0,723.59,723.59
170600,2023,747,5162578.0,698.95,690.96
170610,2023,952,6474686.0,680.98,680.2
170625,2023,167,1146090.0,687.85,687.85
170650,2023,1001,6996005.0,699.49,698.94
170700,2023,1852,12955821.0,699.8,699.57
170710,2023,989,6814578.0,689.81,689.32
170720,2023,1172,7863641.0,671.64,671.02
170730,2023,602,4255067.0,707.12,707.12
170740,2023,1572,10421292.0,715.26,662.91
170755,2023,408,2795814.0,685.48,684.97
